软件名称,1个月,3个月,6个月,1年,7天,总共新增,付费用户,免费用户,评价数,评价分
疯狂车手,8,13,1,0,0,22,970,100,317,4.9
车神,116,5,15,4,0,140,3516,100,756,4.7
开车精灵,125,144,13,7,0,289,15000,392,4771,4.9
聚灵神,13,17,0,0,0,30,661,100,126,4.6
淘快车,40,29,1,1,0,71,3488,100,1461,4.9
麦苗淘词,98,15,7,109,0,229,761,18000,100,4.9
淘快词,16,7,0,0,0,23,1835,100,900,5.0
魔镜看看,10,0,0,0,0,10,367,100,100,4.4
懒人开车,6,9,0,0,0,15,1111,100,455,4.9
省油宝,67,239,4,3,0,313,14000,117,2012,4.7
好又快,6,20,0,0,0,26,1302,100,644,4.7
智能淘词,13,3,2,0,0,18,821,100,271,4.9
超级车手,42,337,8,11,0,398,29000,278,7596,4.9
大麦优驾,116,79,1,1,0,197,5081,2045,969,4.8
北斗,23,40,2,2,0,67,1923,100,400,4.8
开车宝,0,3,0,0,0,3,296,100,100,4.4
超级快车,5,0,0,0,0,5,100,100,100,4.1
智驾宝,27,79,1,1,0,108,3710,355,755,4.9
极品飞车,117,118,1,6,0,242,7669,5204,2130,4.8
如意快车,14,6,3,0,0,23,490,100,123,5.0
