软件名称,1个月,3个月,6个月,1年,其他,总共新增,总用户,付费用户,免费用户,评价数,评价分,浏览数
智能车手,70,3,0,0,0,73,633,626,0,0,4.6,16145
车神,12,8,0,0,0,20,3722,3686,0,850,4.8,9154
开车精灵,66,71,7,3,0,147,17067,16000,449,5573,4.8,82723
聚灵神,3,4,0,0,0,7,963,949,111,191,4.8,25051
淘快车,32,3,1,2,0,38,3224,3222,0,1654,4.9,18989
麦苗淘词,64,14,2,74,0,154,20897,636,20000,0,4.9,8143
淘快词,10,7,0,0,0,17,1804,1803,0,982,5.0,7864
魔镜看看,10,2,0,0,0,12,404,404,0,0,4.5,5440
懒人开车,10,6,0,0,0,16,1340,1320,0,516,4.9,8283
省油宝,42,165,5,2,0,214,17738,17000,179,2609,4.8,85131
好又快,5,10,0,1,0,16,1591,1584,0,714,4.8,23837
智能淘词,3,1,0,0,0,4,860,860,0,316,4.9,7373
超级车手,38,202,2,10,0,252,34206,33000,472,9042,4.9,74082
大麦优驾,100,32,1,0,0,133,6242,5603,3553,1390,4.8,48489
北斗,4,5,0,0,0,9,2812,2757,0,460,4.9,26380
疯狂车手,1,10,0,0,0,11,1071,1047,0,335,4.8,8510
开车宝,2,2,0,0,0,4,339,338,0,141,4.7,8538
智驾宝,6,11,4,0,0,21,4370,3995,380,856,4.9,40108
极品飞车,136,96,3,3,0,238,10276,9263,6149,3295,4.8,73371
如意快车,19,7,0,0,0,26,847,842,0,170,5.0,14357
